slug,title,generated_code,status,error
find-the-largest-almost-missing-integer,Find the Largest Almost Missing Integer,"```python
from typing import List

class Solution:
    def largestInteger(self, nums: List[int], k: int) -> int:
        count = {}
        n = len(nums)
        if k > n:
            return -1
        
        for i in range(n - k + 1):
            subarray = nums[i:i+k]
            unique_in_sub = set(subarray)
            for num in unique_in_sub:
                count[num] = count.get(num, 0) + 1
        
        result = -1
        for num in count:
            if count[num] == 1 and num > result:
                result = num
        
        return result
```",Y,
count-partitions-with-even-sum-difference,Count Partitions with Even Sum Difference,"```python
class Solution:
    def countPartitions(self, nums: List[int]) -> int:
        total_sum = sum(nums)
        prefix_sum = 0
        count = 0
        for num in nums[:-1]:
            prefix_sum += num
            right_sum = total_sum - prefix_sum
            if (prefix_sum - right_sum) % 2 == 0:
                count += 1
        return count
```",Y,
maximum-subarray-with-equal-products,Maximum Subarray With Equal Products,"```python
import math
from typing import List

class Solution:
    def maxLength(self, nums: List[int]) -> int:
        max_len = 0
        n = len(nums)
        
        for i in range(n):
            current_gcd = nums[i]
            current_lcm = nums[i]
            current_prod = nums[i]
            
            for j in range(i + 1, n):
                current_gcd = math.gcd(current_gcd, nums[j])
                current_lcm = (current_lcm * nums[j]) // math.gcd(current_lcm, nums[j])
                current_prod *= nums[j]
                
                if current_prod == current_lcm * current_gcd:
                    max_len = max(max_len, j - i + 1)
        
        return max_len
```",Y,
minimum-operations-to-make-columns-strictly-increasing,Minimum Operations to Make Columns Strictly Increasing,"```python
from typing import List

class Solution:
    def minimumOperations(self, grid: List[List[int]]) -> int:
        if not grid or not grid[0]:
            return 0
        
        m, n = len(grid), len(grid[0])
        operations = 0
        
        for j in range(n):
            for i in range(1, m):
                if grid[i][j] <= grid[i-1][j]:
                    diff = grid[i-1][j] - grid[i][j] + 1
                    operations += diff
                    grid[i][j] += diff
        
        return operations
```",Y,
count-subarrays-of-length-three-with-a-condition,Count Subarrays of Length Three With a Condition,"```python
from typing import List

class Solution:
    def countSubarrays(self, nums: List[int]) -> int:
        count = 0
        for i in range(len(nums) - 2):
            first = nums[i]
            second = nums[i+1]
            third = nums[i+2]
            if first + third == second / 2:
                count += 1
        return count
```",Y,
substring-matching-pattern,Substring Matching Pattern,"```python
class Solution:
    def hasMatch(self, s: str, p: str) -> bool:
        star_index = p.find('*')
        prefix = p[:star_index]
        suffix = p[star_index + 1:]
        
        for i in range(len(s) + 1):
            if i < len(prefix):
                continue
            if len(s) - i < len(suffix):
                continue
            if s.startswith(prefix, i - len(prefix)) and s.endswith(suffix, i + len(suffix)):
                return True
        return False
```",Y,
smallest-number-with-all-set-bits,Smallest Number With All Set Bits,"```python
class Solution:
    def smallestNumber(self, n: int) -> int:
        if n == 0:
            return 1
        m = 1
        while m <= n:
            m = (m << 1) | 1
        return m
```",Y,
minimum-number-of-operations-to-make-elements-in-array-distinct,Minimum Number of Operations to Make Elements in Array Distinct,"```python
from typing import List

class Solution:
    def minimumOperations(self, nums: List[int]) -> int:
        operations = 0
        while True:
            if len(set(nums)) == len(nums):
                return operations
            operations += 1
            nums = nums[3:] if len(nums) >= 3 else []
```",Y,
transformed-array,Transformed Array,"```python
from typing import List

class Solution:
    def constructTransformedArray(self, nums: List[int]) -> List[int]:
        n = len(nums)
        result = [0] * n
        for i in range(n):
            if nums[i] == 0:
                result[i] = 0
            else:
                steps = nums[i]
                new_pos = (i + steps) % n
                result[i] = nums[new_pos]
        return result
```",Y,
minimum-positive-sum-subarray,Minimum Positive Sum Subarray ,"```python
from typing import List

class Solution:
    def minimumSumSubarray(self, nums: List[int], l: int, r: int) -> int:
        min_sum = float('inf')
        n = len(nums)
        
        for length in range(l, r + 1):
            current_sum = sum(nums[:length])
            if current_sum > 0:
                min_sum = min(min_sum, current_sum)
            
            for i in range(1, n - length + 1):
                current_sum = current_sum - nums[i-1] + nums[i + length - 1]
                if current_sum > 0:
                    min_sum = min(min_sum, current_sum)
        
        return min_sum if min_sum != float('inf') else -1
```",Y,
check-balanced-string,Check Balanced String,"```python
class Solution:
    def isBalanced(self, num: str) -> bool:
        even_sum = 0
        odd_sum = 0
        for i, c in enumerate(num):
            digit = int(c)
            if i % 2 == 0:
                even_sum += digit
            else:
                odd_sum += digit
        return even_sum == odd_sum
```",Y,
button-with-longest-push-time,Button with Longest Push Time,"```python
from typing import List

class Solution:
    def buttonWithLongestTime(self, events: List[List[int]]) -> int:
        if not events:
            return -1
        
        max_time = -1
        result = events[0][0]
        prev_time = events[0][1]
        time_dict = {}
        
        for i in range(1, len(events)):
            index, time = events[i]
            duration = time - prev_time
            if index in time_dict:
                if duration > time_dict[index]:
                    time_dict[index] = duration
            else:
                time_dict[index] = duration
            prev_time = time
        
        first_index = events[0][0]
        first_time = events[0][1]
        if first_index in time_dict:
            if first_time > time_dict[first_index]:
                time_dict[first_index] = first_time
        else:
            time_dict[first_index] = first_time
        
        for button, duration in time_dict.items():
            if duration > max_time or (duration == max_time and button < result):
                max_time = duration
                result = button
        
        return result
```",Y,
smallest-divisible-digit-product-i,Smallest Divisible Digit Product I,"```python
class Solution:
    def smallestNumber(self, n: int, t: int) -> int:
        def product_digits(num):
            product = 1
            for digit in str(num):
                product *= int(digit)
            return product
        
        while True:
            if product_digits(n) % t == 0:
                return n
            n += 1
```",Y,
stone-removal-game,Stone Removal Game,"```python
class Solution:
    def canAliceWin(self, n: int) -> bool:
        if n < 10:
            return False
        remaining = n - 10
        if remaining <= 0:
            return True
        return remaining > 9
```",Y,
minimum-operations-to-make-array-values-equal-to-k,Minimum Operations to Make Array Values Equal to K,"```python
from typing import List

class Solution:
    def minOperations(self, nums: List[int], k: int) -> int:
        operations = 0
        current_max = max(nums)
        
        if current_max < k:
            return -1
        
        while current_max > k:
            next_max = k
            for num in nums:
                if num > k and num < current_max:
                    next_max = max(next_max, num)
            operations += 1
            current_max = next_max
        
        return operations
```",Y,
find-the-original-typed-string-i,Find the Original Typed String I,"```python
class Solution:
    def possibleStringCount(self, word: str) -> int:
        if not word:
            return 0
        
        count = 0
        n = len(word)
        i = 0
        
        while i < n:
            current_char = word[i]
            j = i + 1
            while j < n and word[j] == current_char:
                j += 1
            length = j - i
            if length > 1:
                count += 1
            i = j
        
        if count == 0:
            return 1
        
        total = 0
        i = 0
        while i < n:
            current_char = word[i]
            j = i + 1
            while j < n and word[j] == current_char:
                j += 1
            length = j - i
            if length > 1:
                total += (length - 1)
            i = j
        
        return total + 1
```",Y,
make-array-elements-equal-to-zero,Make Array Elements Equal to Zero,"```python
from typing import List

class Solution:
    def countValidSelections(self, nums: List[int]) -> int:
        n = len(nums)
        count = 0
        
        for start in range(n):
            if nums[start] == 0:
                for direction in [-1, 1]:  # -1 for left, 1 for right
                    temp_nums = nums.copy()
                    curr = start
                    dir_ = direction
                    valid = True
                    
                    while True:
                        if curr < 0 or curr >= n:
                            break
                        if temp_nums[curr] == 0:
                            curr += dir_
                        else:
                            temp_nums[curr] -= 1
                            dir_ *= -1
                            curr += dir_
                    
                    if all(x == 0 for x in temp_nums):
                        count += 1
        
        return count
```",Y,
adjacent-increasing-subarrays-detection-i,Adjacent Increasing Subarrays Detection I,"```python
from typing import List

class Solution:
    def hasIncreasingSubarrays(self, nums: List[int], k: int) -> bool:
        n = len(nums)
        increasing = []
        
        for i in range(n - k + 1):
            is_increasing = True
            for j in range(i + 1, i + k):
                if nums[j] <= nums[j - 1]:
                    is_increasing = False
                    break
            if is_increasing:
                increasing.append(i)
        
        for i in range(len(increasing) - 1):
            if increasing[i + 1] == increasing[i] + k:
                return True
        
        return False
```",Y,
find-x-sum-of-all-k-long-subarrays-i,Find X-Sum of All K-Long Subarrays I,"```python
from typing import List
from collections import defaultdict

class Solution:
    def findXSum(self, nums: List[int], k: int, x: int) -> List[int]:
        answer = []
        n = len(nums)
        for i in range(n - k + 1):
            subarray = nums[i:i + k]
            freq = defaultdict(int)
            for num in subarray:
                freq[num] += 1
            
            sorted_items = sorted(freq.items(), key=lambda item: (-item[1], -item[0]))
            
            selected = []
            for item in sorted_items[:x]:
                selected.extend([item[0]] * item[1])
            
            answer.append(sum(selected))
        return answer
```",Y,
minimum-element-after-replacement-with-digit-sum,Minimum Element After Replacement With Digit Sum,"```python
from typing import List

class Solution:
    def minElement(self, nums: List[int]) -> int:
        min_val = float('inf')
        for num in nums:
            digit_sum = 0
            n = num
            while n > 0:
                digit_sum += n % 10
                n = n // 10
            if digit_sum < min_val:
                min_val = digit_sum
        return min_val
```",Y,
construct-the-minimum-bitwise-array-i,Construct the Minimum Bitwise Array I,"```python
from typing import List

class Solution:
    def minBitwiseArray(self, nums: List[int]) -> List[int]:
        ans = []
        for num in nums:
            found = -1
            for x in range(num):
                if (x | (x + 1)) == num:
                    found = x
                    break
            ans.append(found)
        return ans
```",Y,
find-the-k-th-character-in-string-game-i,Find the K-th Character in String Game I,"```python
class Solution:
    def kthCharacter(self, k: int) -> str:
        word = ""a""
        while len(word) < k:
            next_part = []
            for c in word:
                if c == 'z':
                    next_part.append('a')
                else:
                    next_part.append(chr(ord(c) + 1))
            word += ''.join(next_part)
        return word[k-1]
```",Y,
find-indices-of-stable-mountains,Find Indices of Stable Mountains,"```python
from typing import List

class Solution:
    def stableMountains(self, height: List[int], threshold: int) -> List[int]:
        result = []
        for i in range(1, len(height)):
            if height[i-1] > threshold:
                result.append(i)
        return result
```",Y,
the-two-sneaky-numbers-of-digitville,The Two Sneaky Numbers of Digitville,"```python
from typing import List

class Solution:
    def getSneakyNumbers(self, nums: List[int]) -> List[int]:
        count = {}
        result = []
        for num in nums:
            if num in count:
                count[num] += 1
            else:
                count[num] = 1
        for num, freq in count.items():
            if freq == 2:
                result.append(num)
        return result
```",Y,
find-the-key-of-the-numbers,Find the Key of the Numbers,"```python
class Solution:
    def generateKey(self, num1: int, num2: int, num3: int) -> int:
        s1 = f""{num1:04d}""
        s2 = f""{num2:04d}""
        s3 = f""{num3:04d}""
        key_digits = []
        for i in range(4):
            min_digit = min(s1[i], s2[i], s3[i])
            key_digits.append(min_digit)
        key_str = ''.join(key_digits)
        return int(key_str)
```",Y,
convert-date-to-binary,Convert Date to Binary,"```python
class Solution:
    def convertDateToBinary(self, date: str) -> str:
        year, month, day = date.split('-')
        binary_year = bin(int(year))[2:]
        binary_month = bin(int(month))[2:]
        binary_day = bin(int(day))[2:]
        return f""{binary_year}-{binary_month}-{binary_day}""
```",Y,
final-array-state-after-k-multiplication-operations-i,Final Array State After K Multiplication Operations I,"```python
from typing import List

class Solution:
    def getFinalState(self, nums: List[int], k: int, multiplier: int) -> List[int]:
        for _ in range(k):
            min_val = min(nums)
            index = nums.index(min_val)
            nums[index] = min_val * multiplier
        return nums
```",Y,
check-if-two-chessboard-squares-have-the-same-color,Check if Two Chessboard Squares Have the Same Color,"```python
class Solution:
    def checkTwoChessboards(self, coordinate1: str, coordinate2: str) -> bool:
        def get_color(coordinate):
            x = ord(coordinate[0]) - ord('a')
            y = int(coordinate[1]) - 1
            return (x + y) % 2 == 0
        
        return get_color(coordinate1) == get_color(coordinate2)
```",Y,
count-substrings-that-satisfy-k-constraint-i,Count Substrings That Satisfy K-Constraint I,"```python
class Solution:
    def countKConstraintSubstrings(self, s: str, k: int) -> int:
        n = len(s)
        count = 0
        for i in range(n):
            zeros = 0
            ones = 0
            for j in range(i, n):
                if s[j] == '0':
                    zeros += 1
                else:
                    ones += 1
                if zeros <= k or ones <= k:
                    count += 1
                else:
                    break
        return count
```",Y,
snake-in-matrix,Snake in Matrix,"```python
class Solution:
    def finalPositionOfSnake(self, n: int, commands: List[str]) -> int:
        x, y = 0, 0
        for cmd in commands:
            if cmd == ""UP"":
                x -= 1
            elif cmd == ""DOWN"":
                x += 1
            elif cmd == ""LEFT"":
                y -= 1
            elif cmd == ""RIGHT"":
                y += 1
        return x * n + y
```",Y,
find-the-number-of-winning-players,Find the Number of Winning Players,"```python
from typing import List

class Solution:
    def winningPlayerCount(self, n: int, pick: List[List[int]]) -> int:
        color_counts = {}
        for player, color in pick:
            if player not in color_counts:
                color_counts[player] = {}
            if color not in color_counts[player]:
                color_counts[player][color] = 0
            color_counts[player][color] += 1
        
        winners = 0
        for player in range(n):
            max_count = max(color_counts.get(player, {}).values(), default=0)
            if max_count > player:
                winners += 1
        return winners
```",Y,
design-neighbor-sum-service,Design Neighbor Sum Service,"```python
from typing import List

class NeighborSum:

    def __init__(self, grid: List[List[int]]):
        self.grid = grid
        self.n = len(grid)
        self.pos = {}
        for i in range(self.n):
            for j in range(self.n):
                self.pos[grid[i][j]] = (i, j)

    def adjacentSum(self, value: int) -> int:
        i, j = self.pos[value]
        directions = [(-1, 0), (1, 0), (0, -1), (0, 1)]
        total = 0
        for di, dj in directions:
            ni, nj = i + di, j + dj
            if 0 <= ni < self.n and 0 <= nj < self.n:
                total += self.grid[ni][nj]
        return total

    def diagonalSum(self, value: int) -> int:
        i, j = self.pos[value]
        directions = [(-1, -1), (-1, 1), (1, -1), (1, 1)]
        total = 0
        for di, dj in directions:
            ni, nj = i + di, j + dj
            if 0 <= ni < self.n and 0 <= nj < self.n:
                total += self.grid[ni][nj]
        return total
```",E,生成的代码不包含预期函数名 '__init__'或类名不正确
find-if-digit-game-can-be-won,Find if Digit Game Can Be Won,"```python
from typing import List

class Solution:
    def canAliceWin(self, nums: List[int]) -> bool:
        single_sum = sum(num for num in nums if num < 10)
        double_sum = sum(num for num in nums if num >= 10)
        total_sum = sum(nums)
        return single_sum > (total_sum - single_sum) or double_sum > (total_sum - double_sum)
```",Y,
find-the-winning-player-in-coin-game,Find the Winning Player in Coin Game,"```python
class Solution:
    def winningPlayer(self, x: int, y: int) -> str:
        max_turns = min(x, y // 4)
        if max_turns == 0:
            if x >= 1 and y >= 4:
                return ""Alice""
            else:
                return ""Bob""
        remaining_x = x - max_turns
        remaining_y = y - 4 * max_turns
        if (remaining_x >= 1 and remaining_y >= 4) or (remaining_x == 0 and remaining_y == 0):
            return ""Alice"" if max_turns % 2 == 1 else ""Bob""
        else:
            return ""Alice"" if max_turns % 2 == 0 else ""Bob""
```",Y,
number-of-bit-changes-to-make-two-integers-equal,Number of Bit Changes to Make Two Integers Equal,"```python
class Solution:
    def minChanges(self, n: int, k: int) -> int:
        if n == k:
            return 0
        if n < k:
            return -1
        count = 0
        while n > 0 or k > 0:
            bit_n = n & 1
            bit_k = k & 1
            if bit_n == 0 and bit_k == 1:
                return -1
            if bit_n == 1 and bit_k == 0:
                count += 1
            n = n >> 1
            k = k >> 1
        return count
```",Y,
lexicographically-smallest-string-after-a-swap,Lexicographically Smallest String After a Swap,"```python
class Solution:
    def getSmallestString(self, s: str) -> str:
        s_list = list(s)
        n = len(s_list)
        for i in range(n - 1):
            if (int(s_list[i]) % 2) == (int(s_list[i + 1]) % 2):
                if s_list[i] > s_list[i + 1]:
                    s_list[i], s_list[i + 1] = s_list[i + 1], s_list[i]
                    return ''.join(s_list)
        return s
```",Y,
find-minimum-operations-to-make-all-elements-divisible-by-three,Find Minimum Operations to Make All Elements Divisible by Three,"```python
from typing import List

class Solution:
    def minimumOperations(self, nums: List[int]) -> int:
        operations = 0
        for num in nums:
            remainder = num % 3
            if remainder == 1:
                operations += 1
            elif remainder == 2:
                operations += 1
        return operations
```",Y,
minimum-average-of-smallest-and-largest-elements,Minimum Average of Smallest and Largest Elements,"```python
from typing import List

class Solution:
    def minimumAverage(self, nums: List[int]) -> float:
        averages = []
        nums_sorted = sorted(nums)
        left, right = 0, len(nums_sorted) - 1
        while left < right:
            min_element = nums_sorted[left]
            max_element = nums_sorted[right]
            average = (min_element + max_element) / 2
            averages.append(average)
            left += 1
            right -= 1
        return min(averages)
```",Y,
maximum-height-of-a-triangle,Maximum Height of a Triangle,"```python
class Solution:
    def maxHeightOfTriangle(self, red: int, blue: int) -> int:
        max_height = 0
        r, b = red, blue
        height = 0
        turn = 0  # 0 for red, 1 for blue
        while True:
            needed = height + 1
            if turn == 0:
                if r >= needed:
                    r -= needed
                    height += 1
                    turn = 1
                else:
                    break
            else:
                if b >= needed:
                    b -= needed
                    height += 1
                    turn = 0
                else:
                    break
        max_height = max(max_height, height)
        
        r, b = red, blue
        height = 0
        turn = 1  # 0 for red, 1 for blue
        while True:
            needed = height + 1
            if turn == 0:
                if r >= needed:
                    r -= needed
                    height += 1
                    turn = 1
                else:
                    break
            else:
                if b >= needed:
                    b -= needed
                    height += 1
                    turn = 0
                else:
                    break
        max_height = max(max_height, height)
        
        return max_height
```",Y,
find-the-encrypted-string,Find the Encrypted String,"```python
class Solution:
    def getEncryptedString(self, s: str, k: int) -> str:
        encrypted = []
        n = len(s)
        for c in s:
            original_pos = ord(c) - ord('a')
            new_pos = (original_pos + k) % 26
            new_char = chr(ord('a') + new_pos)
            encrypted.append(new_char)
        return ''.join(encrypted)
```",Y,
alternating-groups-i,Alternating Groups I,"```python
from typing import List

class Solution:
    def numberOfAlternatingGroups(self, colors: List[int]) -> int:
        n = len(colors)
        count = 0
        for i in range(n):
            left = colors[i]
            middle = colors[(i + 1) % n]
            right = colors[(i + 2) % n]
            if middle != left and middle != right:
                count += 1
        return count
```",Y,
find-the-child-who-has-the-ball-after-k-seconds,Find the Child Who Has the Ball After K Seconds,"```python
class Solution:
    def numberOfChild(self, n: int, k: int) -> int:
        cycle_length = (n - 1) * 2
        k %= cycle_length
        if k < n:
            return k
        else:
            return 2 * (n - 1) - k
```",Y,
clear-digits,Clear Digits,"```python
class Solution:
    def clearDigits(self, s: str) -> str:
        stack = []
        for char in s:
            if char.isdigit():
                if stack and not stack[-1].isdigit():
                    stack.pop()
            else:
                stack.append(char)
        return ''.join(stack)
```",Y,
find-the-number-of-good-pairs-i,Find the Number of Good Pairs I,"```python
from typing import List

class Solution:
    def numberOfPairs(self, nums1: List[int], nums2: List[int], k: int) -> int:
        count = 0
        for i in range(len(nums1)):
            for j in range(len(nums2)):
                if nums1[i] % (nums2[j] * k) == 0:
                    count += 1
        return count
```",Y,
special-array-i,Special Array I,"```python
from typing import List

class Solution:
    def isArraySpecial(self, nums: List[int]) -> bool:
        for i in range(len(nums) - 1):
            if (nums[i] % 2) == (nums[i + 1] % 2):
                return False
        return True
```",Y,
find-the-xor-of-numbers-which-appear-twice,Find the XOR of Numbers Which Appear Twice,"```python
from typing import List

class Solution:
    def duplicateNumbersXOR(self, nums: List[int]) -> int:
        seen = set()
        result = 0
        for num in nums:
            if num in seen:
                result ^= num
            else:
                seen.add(num)
        return result
```",Y,
minimum-number-of-chairs-in-a-waiting-room,Minimum Number of Chairs in a Waiting Room,"```python
class Solution:
    def minimumChairs(self, s: str) -> int:
        current = 0
        max_chairs = 0
        for event in s:
            if event == 'E':
                current += 1
                if current > max_chairs:
                    max_chairs = current
            else:
                current -= 1
        return max_chairs
```",Y,
count-pairs-that-form-a-complete-day-i,Count Pairs That Form a Complete Day I,"```python
from typing import List

class Solution:
    def countCompleteDayPairs(self, hours: List[int]) -> int:
        count = 0
        n = len(hours)
        for i in range(n):
            for j in range(i + 1, n):
                if (hours[i] + hours[j]) % 24 == 0:
                    count += 1
        return count
```",Y,
check-if-grid-satisfies-conditions,Check if Grid Satisfies Conditions,"```python
from typing import List

class Solution:
    def satisfiesConditions(self, grid: List[List[int]]) -> bool:
        m = len(grid)
        n = len(grid[0]) if m > 0 else 0
        
        for i in range(m):
            for j in range(n):
                if i + 1 < m and grid[i][j] != grid[i + 1][j]:
                    return False
                if j + 1 < n and grid[i][j] == grid[i][j + 1]:
                    return False
        return True
```",Y,
permutation-difference-between-two-strings,Permutation Difference between Two Strings,"```python
class Solution:
    def findPermutationDifference(self, s: str, t: str) -> int:
        s_indices = {char: idx for idx, char in enumerate(s)}
        t_indices = {char: idx for idx, char in enumerate(t)}
        total = 0
        for char in s:
            total += abs(s_indices[char] - t_indices[char])
        return total
```",Y,
count-the-number-of-special-characters-i,Count the Number of Special Characters I,"```python
class Solution:
    def numberOfSpecialChars(self, word: str) -> int:
        lowercase = set()
        uppercase = set()
        for c in word:
            if c.islower():
                lowercase.add(c)
            else:
                uppercase.add(c.lower())
        return len(lowercase & uppercase)
```",Y,
make-a-square-with-the-same-color,Make a Square with the Same Color,"```python
from typing import List

class Solution:
    def canMakeSquare(self, grid: List[List[str]]) -> bool:
        for i in range(2):
            for j in range(2):
                b_count = 0
                w_count = 0
                for x in range(i, i+2):
                    for y in range(j, j+2):
                        if grid[x][y] == 'B':
                            b_count += 1
                        else:
                            w_count += 1
                if b_count >= 3 or w_count >= 3 or b_count == 0 or w_count == 0:
                    return True
        return False
```",Y,
find-the-integer-added-to-array-i,Find the Integer Added to Array I,"```python
from typing import List

class Solution:
    def addedInteger(self, nums1: List[int], nums2: List[int]) -> int:
        return min(nums2) - min(nums1)
```",Y,
valid-word,Valid Word,"```python
class Solution:
    def isValid(self, word: str) -> bool:
        if len(word) < 3:
            return False
        
        vowels = {'a', 'e', 'i', 'o', 'u', 'A', 'E', 'I', 'O', 'U'}
        has_vowel = False
        has_consonant = False
        
        for c in word:
            if not (c.isalpha() or c.isdigit()):
                return False
            if c.isalpha():
                if c in vowels:
                    has_vowel = True
                else:
                    has_consonant = True
        
        return has_vowel and has_consonant
```",Y,
shortest-subarray-with-or-at-least-k-i,Shortest Subarray With OR at Least K I,"```python
from typing import List

class Solution:
    def minimumSubarrayLength(self, nums: List[int], k: int) -> int:
        min_len = float('inf')
        n = len(nums)
        
        for i in range(n):
            current_or = 0
            for j in range(i, n):
                current_or |= nums[j]
                if current_or >= k:
                    min_len = min(min_len, j - i + 1)
                    break  # Once found, break to find shorter subarrays
        
        return min_len if min_len != float('inf') else -1
```",Y,
score-of-a-string,Score of a String,"```python
class Solution:
    def scoreOfString(self, s: str) -> int:
        score = 0
        for i in range(len(s) - 1):
            score += abs(ord(s[i]) - ord(s[i + 1]))
        return score
```",Y,
longest-strictly-increasing-or-strictly-decreasing-subarray,Longest Strictly Increasing or Strictly Decreasing Subarray,"```python
from typing import List

class Solution:
    def longestMonotonicSubarray(self, nums: List[int]) -> int:
        if not nums:
            return 0
        
        max_len = 1
        inc_len = 1
        dec_len = 1
        
        for i in range(1, len(nums)):
            if nums[i] > nums[i-1]:
                inc_len += 1
                dec_len = 1
            elif nums[i] < nums[i-1]:
                dec_len += 1
                inc_len = 1
            else:
                inc_len = 1
                dec_len = 1
            max_len = max(max_len, inc_len, dec_len)
        
        return max_len
```",Y,
harshad-number,Harshad Number,"```python
class Solution:
    def sumOfTheDigitsOfHarshadNumber(self, x: int) -> int:
        digit_sum = sum(int(d) for d in str(x))
        if x % digit_sum == 0:
            return digit_sum
        else:
            return -1
```",Y,
