id,title,slug,difficulty,paid_only
3381,Shortest Subarray With OR at Least K I,shortest-subarray-with-or-at-least-k-i,Easy,False
3379,Score of a String,score-of-a-string,Easy,False
3372,Longest Strictly Increasing or Strictly Decreasing Subarray,longest-strictly-increasing-or-strictly-decreasing-subarray,Easy,False
3371,Harshad Number,harshad-number,Easy,False
3367,Find the Sum of Encrypted Integers,find-the-sum-of-encrypted-integers,Easy,False
3361,Latest Time You Can Obtain After Replacing Characters,latest-time-you-can-obtain-after-replacing-characters,Easy,False
3353,Existence of a Substring in a String and Its Reverse,existence-of-a-substring-in-a-string-and-its-reverse,Easy,False
3349,Maximum Length Substring With Two Occurrences,maximum-length-substring-with-two-occurrences,Easy,False
3347,Distribute Elements Into Two Arrays I,distribute-elements-into-two-arrays-i,Easy,False
3334,Apple Redistribution into Boxes,apple-redistribution-into-boxes,Easy,False
3331,Minimum Operations to Exceed Threshold Value I,minimum-operations-to-exceed-threshold-value-i,Easy,False
3330,Modify the Matrix,modify-the-matrix,Easy,False
3324,Split the Array,split-the-array,Easy,False
3321,Type of Triangle,type-of-triangle,Easy,False
3320,Maximum Number of Operations With the Same Score I,maximum-number-of-operations-with-the-same-score-i,Easy,False
3312,Number of Changing Keys,number-of-changing-keys,Easy,False
3311,Ant on the Boundary,ant-on-the-boundary,Easy,False
3309,Count Prefix and Suffix Pairs I,count-prefix-and-suffix-pairs-i,Easy,False
3275,Minimum Number of Pushes to Type Word I,minimum-number-of-pushes-to-type-word-i,Easy,False
3263,Divide an Array Into Subarrays With Minimum Cost I,divide-an-array-into-subarrays-with-minimum-cost-i,Easy,False
3252,Count the Number of Incremovable Subarrays I,count-the-number-of-incremovable-subarrays-i,Easy,False
3251,Maximum Area of Longest Diagonal Rectangle,maximum-area-of-longest-diagonal-rectangle,Easy,False
3246,Check if Bitwise OR Has Trailing Zeros,check-if-bitwise-or-has-trailing-zeros,Easy,False
3242,Count Elements With Maximum Frequency,count-elements-with-maximum-frequency,Easy,False
3236,Smallest Missing Integer Greater Than Sequential Prefix Sum,smallest-missing-integer-greater-than-sequential-prefix-sum,Easy,False
3227,Find Missing and Repeated Values,find-missing-and-repeated-values,Easy,False
3226,Minimum Number Game,minimum-number-game,Easy,False
3221,Find the Peaks,find-the-peaks,Easy,False
3220,Count Tested Devices After Test Operations,count-tested-devices-after-test-operations,Easy,False
3215,Matrix Similarity After Cyclic Shifts,matrix-similarity-after-cyclic-shifts,Easy,False
3207,Make Three Strings Equal,make-three-strings-equal,Easy,False
3206,Find Common Elements Between Two Arrays,find-common-elements-between-two-arrays,Easy,False
3199,Distribute Candies Among Children I,distribute-candies-among-children-i,Easy,False
3194,Find Words Containing Character,find-words-containing-character,Easy,False
3193,Maximum Strong Pair XOR I,maximum-strong-pair-xor-i,Easy,False
3188,Find Champion I,find-champion-i,Easy,False
3183,Find the K-or of an Array,find-the-k-or-of-an-array,Easy,False
3176,Minimum Sum of Mountain Triplets I,minimum-sum-of-mountain-triplets-i,Easy,False
3172,Divisible and Non-divisible Sums Difference,divisible-and-non-divisible-sums-difference,Easy,False
3165,Find Indices With Index and Value Difference I,find-indices-with-index-and-value-difference-i,Easy,False
3164,Last Visited Integers,last-visited-integers,Easy,False
3163,Subarrays Distinct Element Sum of Squares I,subarrays-distinct-element-sum-of-squares-i,Easy,False
3154,Maximum Value of an Ordered Triplet I,maximum-value-of-an-ordered-triplet-i,Easy,False
3143,Longest Unequal Adjacent Groups Subsequence I,longest-unequal-adjacent-groups-subsequence-i,Easy,False
3093,Sum of Values at Indices With K Set Bits,sum-of-values-at-indices-with-k-set-bits,Easy,False
3076,Get the Size of a DataFrame,get-the-size-of-a-dataframe,Easy,False
3075,Drop Missing Data,drop-missing-data,Easy,False
3074,Select Data,select-data,Easy,False
3073,Reshape Data: Melt,reshape-data-melt,Easy,False
3072,Reshape Data: Pivot,reshape-data-pivot,Easy,False
3071,Drop Duplicate Rows,drop-duplicate-rows,Easy,False
3070,Fill Missing Data,fill-missing-data,Easy,False
3069,Change Data Type,change-data-type,Easy,False
3068,Rename Columns,rename-columns,Easy,False
3067,Modify Columns,modify-columns,Easy,False
3066,Create a New Column,create-a-new-column,Easy,False
3065,Display the First Three Rows,display-the-first-three-rows,Easy,False
3064,Reshape Data: Concatenate,reshape-data-concatenate,Easy,False
3063,Method Chaining,method-chaining,Easy,False
3062,Create a DataFrame from List,create-a-dataframe-from-list,Easy,False
3055,Maximum Odd Binary Number,maximum-odd-binary-number,Easy,False
3045,Minimum Right Shifts to Sort the Array,minimum-right-shifts-to-sort-the-array,Easy,False
3044,Minimum Operations to Collect Elements,minimum-operations-to-collect-elements,Easy,False
3034,Points That Intersect With Cars,points-that-intersect-with-cars,Easy,False
3019,Furthest Point From Origin,furthest-point-from-origin,Easy,False
2999,Check if Strings Can be Made Equal With Operations I,check-if-strings-can-be-made-equal-with-operations-i,Easy,False
2998,  Count Symmetric Integers,count-symmetric-integers,Easy,False
2977,Check if a String Is an Acronym of Words,check-if-a-string-is-an-acronym-of-words,Easy,False
2955,Account Balance After Rounded Purchase,account-balance-after-rounded-purchase,Easy,False
2917,Count Pairs Whose Sum is Less than Target,count-pairs-whose-sum-is-less-than-target,Easy,False
2902,Max Pair Sum in an Array,max-pair-sum-in-an-array,Easy,False
2892,Check if Array is Good,check-if-array-is-good,Easy,False
2886,Faulty Keyboard,faulty-keyboard,Easy,False
2881,Split Strings by Separator,split-strings-by-separator,Easy,False
2876,Number of Employees Who Met the Target,number-of-employees-who-met-the-target,Easy,False
2870,Longest Alternating Subarray,longest-alternating-subarray,Easy,False
2866,Longest Even Odd Subarray With Threshold,longest-even-odd-subarray-with-threshold,Easy,False
2864,Is Object Empty,is-object-empty,Easy,False
2863,Calculator with Method Chaining,calculator-with-method-chaining,Easy,False
2862,Interval Cancellation,interval-cancellation,Easy,False
2860,Sort By,sort-by,Easy,False
2859,Add Two Promises,add-two-promises,Easy,False
2857,Total Distance Traveled,total-distance-traveled,Easy,False
2847,Find Maximum Number of String Pairs,find-maximum-number-of-string-pairs,Easy,False
2844,Sum of Squares of Special Elements ,sum-of-squares-of-special-elements,Easy,False
2836,Neither Minimum nor Maximum,neither-minimum-nor-maximum,Easy,False
2831,Number of Beautiful Pairs,number-of-beautiful-pairs,Easy,False
2825,Minimize String Length,minimize-string-length,Easy,False
2824,Check if The Number is Fascinating,check-if-the-number-is-fascinating,Easy,False
2821,Timeout Cancellation,timeout-cancellation,Easy,False
2820,Return Length of Arguments Passed,return-length-of-arguments-passed,Easy,False
2819,Remove Trailing Zeros From a String,remove-trailing-zeros-from-a-string,Easy,False
2816,Lexicographically Smallest Palindrome,lexicographically-smallest-palindrome,Easy,False
2813,To Be Or Not To Be,to-be-or-not-to-be,Easy,False
2812,Find the Maximum Achievable Number,find-the-maximum-achievable-number,Easy,False
2809,Create Hello World Function,create-hello-world-function,Easy,False
2805,Array Wrapper,array-wrapper,Easy,False
2800,Minimum String Length After Removing Substrings,minimum-string-length-after-removing-substrings,Easy,False
2798,Chunk Array,chunk-array,Easy,False
2796,Allow One Function Call,allow-one-function-call,Easy,False
2791,Find the Losers of the Circular Game,find-the-losers-of-the-circular-game,Easy,False
2789,Counter II,counter-ii,Easy,False
2785,Semi-Ordered Permutation,semi-ordered-permutation,Easy,False
2777,Find the Distinct Difference Array,find-the-distinct-difference-array,Easy,False
2775,Generate Fibonacci Sequence,generate-fibonacci-sequence,Easy,False
2767,Maximum Sum With Exactly K Elements ,maximum-sum-with-exactly-k-elements,Easy,False
2761,Array Reduce Transformation,array-reduce-transformation,Easy,False
2756,Buy Two Chocolates,buy-two-chocolates,Easy,False
2752,Sum Multiples,sum-multiples,Easy,False
2748,Calculate Delayed Arrival Time,calculate-delayed-arrival-time,Easy,False
2747,Apply Transform Over Each Element in Array,apply-transform-over-each-element-in-array,Easy,False
2746,Filter Elements from Array,filter-elements-from-array,Easy,False
2741,Function Composition,function-composition,Easy,False
2737,Row With Maximum Ones,row-with-maximum-ones,Easy,False
2734,Array Prototype Last,array-prototype-last,Easy,False
2733,Sleep,sleep,Easy,False
2732,Counter,counter,Easy,False
2727,Number of Senior Citizens,number-of-senior-citizens,Easy,False
2723,Find the Longest Balanced Substring of a Binary String,find-the-longest-balanced-substring-of-a-binary-string,Easy,False
2722,Prime In Diagonal,prime-in-diagonal,Easy,False
2715,K Items With the Maximum Sum,k-items-with-the-maximum-sum,Easy,False
2714,Left and Right Sum Differences,left-and-right-sum-differences,Easy,False
2707,Merge Two 2D Arrays by Summing Values,merge-two-2d-arrays-by-summing-values,Easy,False
2704,Maximum Difference by Remapping a Digit,maximum-difference-by-remapping-a-digit,Easy,False
2698,Find the Array Concatenation Value,find-the-array-concatenation-value,Easy,False
2694,Find the Maximum Divisibility Score,find-the-maximum-divisibility-score,Easy,False
2692,Take Gifts From the Richest Pile,take-gifts-from-the-richest-pile,Easy,False
2684,Determine the Winner of a Bowling Game,determine-the-winner-of-a-bowling-game,Easy,False
2679,Count Distinct Numbers on Board,count-distinct-numbers-on-board,Easy,False
2675,Find the Width of Columns of a Grid,find-the-width-of-columns-of-a-grid,Easy,False
2668,Form Smallest Number From Two Digit Arrays,form-smallest-number-from-two-digit-arrays,Easy,False
2663,Distribute Money to Maximum Children,distribute-money-to-maximum-children,Easy,False
2659,Number of Even and Odd Bits,number-of-even-and-odd-bits,Easy,False
2654,Count the Number of Vowel Strings in Range,count-the-number-of-vowel-strings-in-range,Easy,False
2650,Split With Minimum Sum,split-with-minimum-sum,Easy,False
2645,Pass the Pillow,pass-the-pillow,Easy,False
2639,Separate the Digits in an Array,separate-the-digits-in-an-array,Easy,False
2634,Minimum Common Value,minimum-common-value,Easy,False
2630,Alternating Digit Sum,alternating-digit-sum,Easy,False
2624,Difference Between Element Sum and Digit Sum of an Array,difference-between-element-sum-and-digit-sum-of-an-array,Easy,False
2619,Categorize Box According to Criteria,categorize-box-according-to-criteria,Easy,False
2614,Maximum Count of Positive Integer and Negative Integer,maximum-count-of-positive-integer-and-negative-integer,Easy,False
2608,Count the Digits That Divide a Number,count-the-digits-that-divide-a-number,Easy,False
2602,Maximum Enemy Forts That Can Be Captured,maximum-enemy-forts-that-can-be-captured,Easy,False
2598,Shortest Distance to Target String in a Circular Array,shortest-distance-to-target-string-in-a-circular-array,Easy,False
2594,Count Pairs Of Similar Strings,count-pairs-of-similar-strings,Easy,False
2589,Maximum Value of a String in an Array,maximum-value-of-a-string-in-an-array,Easy,False
2585,Delete Greatest Value in Each Row,delete-greatest-value-in-each-row,Easy,False
2580,Circular Sentence,circular-sentence,Easy,False
2575,Minimum Cuts to Divide a Circle,minimum-cuts-to-divide-a-circle,Easy,False
2571,Find the Pivot Integer,find-the-pivot-integer,Easy,False
2566,Number of Unequal Triplets in Array,number-of-unequal-triplets-in-array,Easy,False
2561,Number of Distinct Averages,number-of-distinct-averages,Easy,False
2556,Convert the Temperature,convert-the-temperature,Easy,False
2551,Apply Operations to an Array,apply-operations-to-an-array,Easy,False
2547,Odd String Difference,odd-string-difference,Easy,False
2542,Average Value of Even Numbers That Are Divisible by Three,average-value-of-even-numbers-that-are-divisible-by-three,Easy,False
2536,Determine if Two Events Have Conflict,determine-if-two-events-have-conflict,Easy,False
2532,Remove Letter To Equalize Frequency,remove-letter-to-equalize-frequency,Easy,False
2528,Number of Valid Clock Times,number-of-valid-clock-times,Easy,False
2524,Largest Positive Integer That Exists With Its Negative,largest-positive-integer-that-exists-with-its-negative,Easy,False
2518,The Employee That Worked on the Longest Task,the-employee-that-worked-on-the-longest-task,Easy,False
2507,Number of Common Factors,number-of-common-factors,Easy,False
2502,Sort the People,sort-the-people,Easy,False
2496,Count Days Spent Together,count-days-spent-together,Easy,False
2495,Number of Unique Subjects Taught by Each Teacher,number-of-unique-subjects-taught-by-each-teacher,Easy,False
2491,Smallest Even Multiple,smallest-even-multiple,Easy,False
2486,Most Frequent Even Element,most-frequent-even-element,Easy,False
2480,Find Subarrays With Equal Sum,find-subarrays-with-equal-sum,Easy,False
2476,Check Distances Between Same Letters,check-distances-between-same-letters,Easy,False
2469,Longest Subsequence With Limited Sum,longest-subsequence-with-limited-sum,Easy,False
2463,Minimum Recolors to Get K Consecutive Black Blocks,minimum-recolors-to-get-k-consecutive-black-blocks,Easy,False
2459,Minimum Hours of Training to Win a Competition,minimum-hours-of-training-to-win-a-competition,Easy,False
2454,Largest Local Values in a Matrix,largest-local-values-in-a-matrix,Easy,False
2447,Merge Similar Items,merge-similar-items,Easy,False
2442,Number of Arithmetic Triplets,number-of-arithmetic-triplets,Easy,False
2436,Make Array Zero by Subtracting Equal Amounts,make-array-zero-by-subtracting-equal-amounts,Easy,False
2433,Best Poker Hand,best-poker-hand,Easy,False
2427,First Letter to Appear Twice,first-letter-to-appear-twice,Easy,False
2421,Maximum Number of Pairs in Array,maximum-number-of-pairs-in-array,Easy,False
2416,Evaluate Boolean Binary Tree,evaluate-boolean-binary-tree,Easy,False
2412,Minimum Amount of Time to Fill Cups,minimum-amount-of-time-to-fill-cups,Easy,False
2406,Decode the Message,decode-the-message,Easy,False
2401,Count Asterisks,count-asterisks,Easy,False
2398,Check if Matrix Is X-Matrix,check-if-matrix-is-x-matrix,Easy,False
2391,Strong Password Checker II,strong-password-checker-ii,Easy,False
2386,Min Max Game,min-max-game,Easy,False
2384,Root Equals Sum of Children,root-equals-sum-of-children,Easy,False
2383,Add Two Integers,add-two-integers,Easy,False
2377,Check if Number Has Equal Digit Count and Digit Value,check-if-number-has-equal-digit-count-and-digit-value,Easy,False
2372,Rearrange Characters to Make Target String,rearrange-characters-to-make-target-string,Easy,False
2365,Percentage of Letter in String,percentage-of-letter-in-string,Easy,False
2361,Calculate Digit Sum of a String,calculate-digit-sum-of-a-string,Easy,False
2350,Find Closest Number to Zero,find-closest-number-to-zero,Easy,False
2346,Largest 3-Same-Digit Number in String,largest-3-same-digit-number-in-string,Easy,False
2345,Minimum Number of Operations to Convert Time,minimum-number-of-operations-to-convert-time,Easy,False
2341,Count Prefixes of a Given String,count-prefixes-of-a-given-string,Easy,False
2337,Remove Digit From Number to Maximize Result,remove-digit-from-number-to-maximize-result,Easy,False
2331,Intersection of Multiple Arrays,intersection-of-multiple-arrays,Easy,False
2327,Largest Number After Digit Swaps by Parity,largest-number-after-digit-swaps-by-parity,Easy,False
2323,Minimum Bit Flips to Convert Number,minimum-bit-flips-to-convert-number,Easy,False
2320,Find All K-Distant Indices in an Array,find-all-k-distant-indices-in-an-array,Easy,False
2316,Count Hills and Valleys in an Array,count-hills-and-valleys-in-an-array,Easy,False
2312,Most Frequent Number Following Key In an Array,most-frequent-number-following-key-in-an-array,Easy,False
2308,Divide Array Into Equal Pairs,divide-array-into-equal-pairs,Easy,False
2304,Cells in a Range on an Excel Sheet,cells-in-a-range-on-an-excel-sheet,Easy,False
2298,Count Integers With Even Digit Sum,count-integers-with-even-digit-sum,Easy,False
2292,Counting Words With a Given Prefix,counting-words-with-a-given-prefix,Easy,False
2288,Count Operations to Obtain Zero,count-operations-to-obtain-zero,Easy,False
2283,Sort Even and Odd Indices Independently,sort-even-and-odd-indices-independently,Easy,False
2277,Count Equal and Divisible Pairs in an Array,count-equal-and-divisible-pairs-in-an-array,Easy,False
2274,Keep Multiplying Found Values by Two,keep-multiplying-found-values-by-two,Easy,False
2269,Count Elements With Strictly Smaller and Greater Elements ,count-elements-with-strictly-smaller-and-greater-elements,Easy,False
2264,Minimum Sum of Four Digit Number After Splitting Digits,minimum-sum-of-four-digit-number-after-splitting-digits,Easy,False
2260,Divide a String Into Groups of Size k,divide-a-string-into-groups-of-size-k,Easy,False
2254,Check if Every Row and Column Contains All Numbers,check-if-every-row-and-column-contains-all-numbers,Easy,False
2248,Minimum Cost of Buying Candies With Discount,minimum-cost-of-buying-candies-with-discount,Easy,False
2243,Check if All A's Appears Before All B's,check-if-all-as-appears-before-all-bs,Easy,False
2238,A Number After a Double Reversal,a-number-after-a-double-reversal,Easy,False
2235,Capitalize the Title,capitalize-the-title,Easy,False
2231,Find First Palindromic String in the Array,find-first-palindromic-string-in-the-array,Easy,False
2226,Rings and Rods,rings-and-rods,Easy,False
2219,Maximum Number of Words Found in Sentences,maximum-number-of-words-found-in-sentences,Easy,False
2215,Finding 3-Digit Even Numbers,finding-3-digit-even-numbers,Easy,False
2210,Find Target Indices After Sorting Array,find-target-indices-after-sorting-array,Easy,False
2204,Find Subsequence of Length K With the Largest Sum,find-subsequence-of-length-k-with-the-largest-sum,Easy,False
2199,Two Furthest Houses With Different Colors,two-furthest-houses-with-different-colors,Easy,False
2195,Time Needed to Buy Tickets,time-needed-to-buy-tickets,Easy,False
2190,Count Common Words With One Occurrence,count-common-words-with-one-occurrence,Easy,False
2186,Count Vowel Substrings of a String,count-vowel-substrings-of-a-string,Easy,False
2181,Smallest Index With Equal Value,smallest-index-with-equal-value,Easy,False
2177,Check Whether Two Strings are Almost Equivalent,check-whether-two-strings-are-almost-equivalent,Easy,False
2173,Number of Valid Words in a Sentence,number-of-valid-words-in-a-sentence,Easy,False
2168,Check if Numbers Are Ascending in a Sentence,check-if-numbers-are-ascending-in-a-sentence,Easy,False
2163,Kth Distinct String in an Array,kth-distinct-string-in-an-array,Easy,False
2159,Two Out of Three,two-out-of-three,Easy,False
2154,Minimum Moves to Convert String,minimum-moves-to-convert-string,Easy,False
2148,Minimum Number of Moves to Seat Everyone,minimum-number-of-moves-to-seat-everyone,Easy,False
2144,Maximum Difference Between Increasing Elements,maximum-difference-between-increasing-elements,Easy,False
2137,Final Value of Variable After Performing Operations,final-value-of-variable-after-performing-operations,Easy,False
2132,Convert 1D Array Into 2D Array,convert-1d-array-into-2d-array,Easy,False
2128,Reverse Prefix of Word,reverse-prefix-of-word,Easy,False
2127,Employees Whose Manager Left the Company,employees-whose-manager-left-the-company,Easy,False
2122,Count Special Quadruplets,count-special-quadruplets,Easy,False
2121,Find if Path Exists in Graph,find-if-path-exists-in-graph,Easy,False
2116,Count Number of Pairs With Absolute Difference K,count-number-of-pairs-with-absolute-difference-k,Easy,False
2112,Minimum Difference Between Highest and Lowest of K Scores,minimum-difference-between-highest-and-lowest-of-k-scores,Easy,False
2110,Employees With Missing Information,employees-with-missing-information,Easy,False
2106,Find Greatest Common Divisor of Array,find-greatest-common-divisor-of-array,Easy,False
2102,Find the Middle Index in Array,find-the-middle-index-in-array,Easy,False
2099,Number of Strings That Appear as Substrings in Word,number-of-strings-that-appear-as-substrings-in-word,Easy,False
2093,Check If String Is a Prefix of Array,check-if-string-is-a-prefix-of-array,Easy,False
2088,Minimum Time to Type Word Using Special Typewriter,minimum-time-to-type-word-using-special-typewriter,Easy,False
2083,Three Divisors,three-divisors,Easy,False
2076,Sum of Digits of String After Convert,sum-of-digits-of-string-after-convert,Easy,False
2058,Concatenation of Array,concatenation-of-array,Easy,False
2053,Check if All Characters Have Equal Number of Occurrences,check-if-all-characters-have-equal-number-of-occurrences,Easy,False
2048,Build Array from Permutation,build-array-from-permutation,Easy,False
2042,Maximum Product Difference Between Two Pairs,maximum-product-difference-between-two-pairs,Easy,False
2041,The Latest Login in 2020,the-latest-login-in-2020,Easy,False
2037,Count Square Sum Triples,count-square-sum-triples,Easy,False
2032,Largest Odd Number in String,largest-odd-number-in-string,Easy,False
2025,Redistribute Characters to Make All Strings Equal,redistribute-characters-to-make-all-strings-equal,Easy,False
2024,Calculate Special Bonus,calculate-special-bonus,Easy,False
2020,Remove One Element to Make the Array Strictly Increasing,remove-one-element-to-make-the-array-strictly-increasing,Easy,False
2015,Determine Whether Matrix Can Be Obtained By Rotation,determine-whether-matrix-can-be-obtained-by-rotation,Easy,False
2010,Check if Word Equals Summation of Two Words,check-if-word-equals-summation-of-two-words,Easy,False
2005,Check if All the Integers in a Range Are Covered,check-if-all-the-integers-in-a-range-are-covered,Easy,False
1999,Longer Contiguous Segments of Ones than Zeros,longer-contiguous-segments-of-ones-than-zeros,Easy,False
1993,Sum of All Subset XOR Totals,sum-of-all-subset-xor-totals,Easy,False
1987,Substrings of Size Three with Distinct Characters,substrings-of-size-three-with-distinct-characters,Easy,False
1983,Maximum Population Year,maximum-population-year,Easy,False
1975,Minimum Distance to the Target Element,minimum-distance-to-the-target-element,Easy,False
1970,Sorting the Sentence,sorting-the-sentence,Easy,False
1965,Sum of Digits in Base K,sum-of-digits-in-base-k,Easy,False
1960,Check if the Sentence Is Pangram,check-if-the-sentence-is-pangram,Easy,False
1954,Replace All Digits with Characters,replace-all-digits-with-characters,Easy,False
1950,Sign of the Product of an Array,sign-of-the-product-of-an-array,Easy,False
1948,Rearrange Products Table,rearrange-products-table,Easy,False
1944,Truncate Sentence,truncate-sentence,Easy,False
1942,Primary Department for Each Employee,primary-department-for-each-employee,Easy,False
1938,Minimum Operations to Make the Array Increasing,minimum-operations-to-make-the-array-increasing,Easy,False
1933,Number of Different Integers in a String,number-of-different-integers-in-a-string,Easy,False
1927,Maximum Ascending Subarray Sum,maximum-ascending-subarray-sum,Easy,False
1920,Determine Color of a Chessboard Square,determine-color-of-a-chessboard-square,Easy,False
1916,Find Center of Star Graph,find-center-of-star-graph,Easy,False
1915,Check if One String Swap Can Make Strings Equal,check-if-one-string-swap-can-make-strings-equal,Easy,False
1910,Check if Binary String Has at Most One Segment of Ones,check-if-binary-string-has-at-most-one-segment-of-ones,Easy,False
1908,Recyclable and Low Fat Products,recyclable-and-low-fat-products,Easy,False
1904,Second Largest Digit in a String,second-largest-digit-in-a-string,Easy,False
1899,Count Items Matching a Rule,count-items-matching-a-rule,Easy,False
1894,Merge Strings Alternately,merge-strings-alternately,Easy,False
1892,Find Total Time Spent by Each Employee,find-total-time-spent-by-each-employee,Easy,False
1888,Find Nearest Point That Has the Same X or Y Coordinate,find-nearest-point-that-has-the-same-x-or-y-coordinate,Easy,False
1884,Minimum Changes To Make Alternating Binary String,minimum-changes-to-make-alternating-binary-string,Easy,False
1882,The Number of Employees Which Report to Each Employee,the-number-of-employees-which-report-to-each-employee,Easy,False
1878,Check if Array Is Sorted and Rotated,check-if-array-is-sorted-and-rotated,Easy,False
1877,Find Followers Count,find-followers-count,Easy,False
1873,Longest Nice Substring,longest-nice-substring,Easy,False
