slug,difficulty,total_testcases,total_correct,runtime_percentile,state,memory_percentile,status_msg,processed
closest-nodes-queries-in-a-binary-search-tree,Medium,35,35,14.7674,SUCCESS,53.2441,Accepted,TRUE
maximum-and-sum-of-array,Hard,84,84,15,SUCCESS,87.5,Accepted,TRUE
number-of-black-blocks,Medium,2145,2145,15.0485,SUCCESS,19.6153,Accepted,TRUE
count-increasing-quadruplets,Hard,121,121,15.094,SUCCESS,5.6602,Accepted,TRUE
concatenation-of-array,Easy,92,92,15.2793,SUCCESS,70.7831,Accepted,TRUE
most-popular-video-creator,Medium,86,86,15.3288,SUCCESS,33.5769,Accepted,TRUE
count-subtrees-with-max-distance-between-cities,Hard,31,31,15.3847,SUCCESS,49.4506,Accepted,TRUE
two-furthest-houses-with-different-colors,Easy,126,126,15.4945,SUCCESS,55.6575,Accepted,TRUE
sum-of-total-strength-of-wizards,Hard,82,82,15.7245,SUCCESS,71.6981,Accepted,TRUE
shortest-and-lexicographically-smallest-beautiful-string,Medium,674,674,15.9609,SUCCESS,91.2052,Accepted,TRUE
count-the-number-of-good-nodes,Medium,621,621,16.2918,SUCCESS,96.0674,Accepted,TRUE
determine-if-a-cell-is-reachable-at-a-given-time,Medium,806,806,16.8369,SUCCESS,35.8999,Accepted,TRUE
maximum-length-substring-with-two-occurrences,Easy,709,709,16.9308,SUCCESS,13.4921,Accepted,TRUE
find-the-integer-added-to-array-ii,Medium,560,560,16.9808,SUCCESS,84.9056,Accepted,TRUE
check-if-the-sentence-is-pangram,Easy,79,79,17.2318,SUCCESS,9.5733,Accepted,TRUE
total-characters-in-string-after-transformations-i,Medium,824,824,18.3274,SUCCESS,48.8888,Accepted,TRUE
make-array-elements-equal-to-zero,Easy,584,584,18.5723,SUCCESS,73.9286,Accepted,TRUE
shift-distance-between-two-strings,Medium,741,741,18.9162,SUCCESS,26.3513,Accepted,TRUE
count-ways-to-group-overlapping-ranges,Medium,32,32,19.5017,SUCCESS,10.3735,Accepted,TRUE
check-if-two-chessboard-squares-have-the-same-color,Easy,506,506,19.8496,SUCCESS,18.5782,Accepted,TRUE
maximum-possible-number-by-binary-concatenation,Medium,752,752,19.883,SUCCESS,54.9707,Accepted,TRUE
substring-with-largest-variance,Hard,138,138,20.2608,SUCCESS,20.2614,Accepted,TRUE
find-minimum-time-to-finish-all-jobs,Hard,65,65,20.364,SUCCESS,79.6295,Accepted,TRUE
make-k-subarray-sums-equal,Medium,1040,1040,20.4541,SUCCESS,94.3182,Accepted,TRUE
longest-strictly-increasing-or-strictly-decreasing-subarray,Easy,868,868,20.7786,SUCCESS,15.0365,Accepted,TRUE
number-of-senior-citizens,Easy,303,303,21.1055,SUCCESS,41.541,Accepted,TRUE
second-largest-digit-in-a-string,Easy,301,301,21.2793,SUCCESS,84.0099,Accepted,TRUE
counting-words-with-a-given-prefix,Easy,95,95,21.4132,SUCCESS,24.7573,Accepted,TRUE
minimum-impossible-or,Medium,73,73,21.4286,SUCCESS,53.5713,Accepted,TRUE
distribute-elements-into-two-arrays-i,Easy,622,622,21.5303,SUCCESS,7.6512,Accepted,TRUE
design-memory-allocator,Medium,109,109,21.5424,SUCCESS,68.0804,Accepted,TRUE
movement-of-robots,Medium,2567,2567,21.6537,SUCCESS,5.1183,Accepted,TRUE
count-the-number-of-complete-components,Medium,3356,3356,22.0703,SUCCESS,33.8274,Accepted,TRUE
count-k-subsequences-of-a-string-with-maximum-beauty,Hard,611,611,22.2223,SUCCESS,66.6667,Accepted,TRUE
find-the-losers-of-the-circular-game,Easy,1277,1277,22.6805,SUCCESS,10.3093,Accepted,TRUE
maximize-greatness-of-an-array,Medium,1072,1072,22.8693,SUCCESS,32.6706,Accepted,TRUE
maximum-element-sum-of-a-complete-subset-of-indices,Hard,663,663,22.9172,SUCCESS,47.9166,Accepted,TRUE
recover-the-original-array,Hard,110,110,23.077,SUCCESS,42.8572,Accepted,TRUE
substring-xor-queries,Medium,59,59,23.6105,SUCCESS,37.4996,Accepted,TRUE
maximum-strength-of-k-disjoint-subarrays,Hard,802,802,24.0018,SUCCESS,26.6672,Accepted,TRUE
sum-of-prefix-scores-of-strings,Hard,38,38,24.0827,SUCCESS,8.757,Accepted,TRUE
maximal-score-after-applying-k-operations,Medium,40,40,24.3294,SUCCESS,88.2603,Accepted,TRUE
minimum-moves-to-convert-string,Easy,55,55,24.5542,SUCCESS,9.6021,Accepted,TRUE
minimize-the-total-price-of-the-trips,Hard,407,407,24.6369,SUCCESS,55.0724,Accepted,TRUE
find-the-longest-semi-repetitive-substring,Medium,12264,12264,25.2082,SUCCESS,60.625,Accepted,TRUE
furthest-point-from-origin,Easy,1252,1252,25.3522,SUCCESS,81.4084,Accepted,TRUE
partition-array-into-two-arrays-to-minimize-sum-difference,Hard,201,201,25.605,SUCCESS,41.7681,Accepted,TRUE
count-tested-devices-after-test-operations,Easy,520,520,26.0755,SUCCESS,66.3291,Accepted,TRUE
maximum-strictly-increasing-cells-in-a-matrix,Hard,566,566,26.1891,SUCCESS,51.1899,Accepted,TRUE
minimum-penalty-for-a-shop,Medium,42,42,26.1934,SUCCESS,11.504,Accepted,TRUE
check-if-all-characters-have-equal-number-of-occurrences,Easy,134,134,26.6666,SUCCESS,71.6887,Accepted,TRUE
count-subarrays-of-length-three-with-a-condition,Easy,1691,1691,26.8344,SUCCESS,47.5891,Accepted,TRUE
longest-even-odd-subarray-with-threshold,Easy,6873,6873,26.8627,SUCCESS,34.3115,Accepted,TRUE
count-integers-with-even-digit-sum,Easy,71,71,27.3729,SUCCESS,63.136,Accepted,TRUE
neighboring-bitwise-xor,Medium,1425,1425,27.3816,SUCCESS,60.4166,Accepted,TRUE
minimum-score-by-changing-two-elements,Medium,70,70,27.5001,SUCCESS,24.1666,Accepted,TRUE
booking-concert-tickets-in-groups,Hard,97,97,27.535,SUCCESS,84.0577,Accepted,TRUE
count-items-matching-a-rule,Easy,92,92,27.7925,SUCCESS,84.7074,Accepted,TRUE
create-sorted-array-through-instructions,Hard,65,65,27.857,SUCCESS,69.8631,Accepted,TRUE
check-if-an-original-string-exists-given-two-encoded-strings,Hard,215,215,27.9651,SUCCESS,66.8253,Accepted,TRUE
second-minimum-time-to-reach-destination,Hard,77,77,28.8258,SUCCESS,47.0588,Accepted,TRUE
count-substrings-starting-and-ending-with-given-character,Medium,669,669,29.1469,SUCCESS,69.9052,Accepted,TRUE
count-days-without-meetings,Medium,578,578,29.8999,SUCCESS,15.8949,Accepted,TRUE
build-array-where-you-can-find-the-maximum-exactly-k-comparisons,Hard,31,31,30.1058,SUCCESS,68.8174,Accepted,TRUE
minimum-time-to-remove-all-cars-containing-illegal-goods,Hard,89,89,30.1588,SUCCESS,39.6826,Accepted,TRUE
count-symmetric-integers,Easy,1967,1967,30.2913,SUCCESS,77.756,Accepted,TRUE
maximum-number-of-achievable-transfer-requests,Hard,117,117,30.2994,SUCCESS,75.1514,Accepted,TRUE
find-the-original-typed-string-i,Easy,780,780,30.6751,SUCCESS,25.767,Accepted,TRUE
count-beautiful-substrings-i,Medium,619,619,31.4368,SUCCESS,44.4444,Accepted,TRUE
odd-string-difference,Easy,40,40,31.4516,SUCCESS,46.4516,Accepted,TRUE
count-pairs-of-similar-strings,Easy,225,225,31.5183,SUCCESS,92.0047,Accepted,TRUE
minimum-number-of-removals-to-make-mountain-array,Hard,91,91,31.8167,SUCCESS,39.8396,Accepted,TRUE
remove-max-number-of-edges-to-keep-graph-fully-traversable,Hard,86,86,31.8849,SUCCESS,64.4928,Accepted,TRUE
divisible-and-non-divisible-sums-difference,Easy,737,737,31.9149,SUCCESS,25.5319,Accepted,TRUE
find-the-longest-balanced-substring-of-a-binary-string,Easy,1848,1848,32.3529,SUCCESS,41.6667,Accepted,TRUE
minimum-index-of-a-valid-split,Medium,917,917,32.4287,SUCCESS,44.0008,Accepted,TRUE
find-the-key-of-the-numbers,Easy,757,757,32.4743,SUCCESS,39.9485,Accepted,TRUE
difference-between-element-sum-and-digit-sum-of-an-array,Easy,142,142,32.7586,SUCCESS,91.7898,Accepted,TRUE
check-if-the-number-is-fascinating,Easy,900,900,32.86,SUCCESS,87.8297,Accepted,TRUE
count-special-quadruplets,Easy,211,211,32.8636,SUCCESS,16.8153,Accepted,TRUE
count-square-sum-triples,Easy,91,91,33.1631,SUCCESS,35.7513,Accepted,TRUE
total-distance-traveled,Easy,10000,10000,33.2462,SUCCESS,37.9581,Accepted,TRUE
transformed-array,Easy,695,695,33.2492,SUCCESS,98.2368,Accepted,TRUE
maximum-employees-to-be-invited-to-a-meeting,Hard,99,99,33.4767,SUCCESS,21.303,Accepted,TRUE
sum-of-scores-of-built-strings,Hard,150,150,34,SUCCESS,92,Accepted,TRUE
make-number-of-distinct-characters-equal,Medium,99,99,34.0286,SUCCESS,91.6667,Accepted,TRUE
number-of-possible-sets-of-closing-branches,Hard,533,533,34.1467,SUCCESS,94.1464,Accepted,TRUE
find-words-containing-character,Easy,912,912,34.1945,SUCCESS,41.8036,Accepted,TRUE
last-day-where-you-can-still-cross,Hard,118,118,35.1628,SUCCESS,70.3197,Accepted,TRUE
time-needed-to-buy-tickets,Easy,65,65,35.1863,SUCCESS,86.5608,Accepted,TRUE
maximum-value-of-an-ordered-triplet-i,Easy,564,564,35.5775,SUCCESS,55.681,Accepted,TRUE
minimum-time-to-complete-all-tasks,Hard,1059,1059,35.6104,SUCCESS,44.878,Accepted,TRUE
find-x-sum-of-all-k-long-subarrays-i,Easy,906,906,35.815,SUCCESS,81.3203,Accepted,TRUE
maximum-units-on-a-truck,Easy,76,76,35.8443,SUCCESS,33.3696,Accepted,TRUE
divide-intervals-into-minimum-number-of-groups,Medium,35,35,36.4219,SUCCESS,77.6236,Accepted,TRUE
match-substring-after-replacement,Hard,116,116,36.4472,SUCCESS,57.0094,Accepted,TRUE
minimum-operations-to-make-the-array-k-increasing,Hard,90,90,36.508,SUCCESS,26.9842,Accepted,TRUE
average-value-of-even-numbers-that-are-divisible-by-three,Easy,181,181,36.566,SUCCESS,95.2305,Accepted,TRUE
count-pairs-that-form-a-complete-day-ii,Medium,714,714,36.597,SUCCESS,9.2782,Accepted,TRUE
length-of-the-longest-valid-substring,Hard,763,763,36.7789,SUCCESS,66.9538,Accepted,TRUE
minimum-sum-of-mountain-triplets-i,Easy,724,724,36.867,SUCCESS,99.3671,Accepted,TRUE
the-number-of-beautiful-subsets,Medium,1308,1308,37.169,SUCCESS,17.8011,Accepted,TRUE
difference-of-number-of-distinct-values-on-diagonals,Medium,709,709,37.2345,SUCCESS,71.2767,Accepted,TRUE
defuse-the-bomb,Easy,74,74,37.298,SUCCESS,97.2622,Accepted,TRUE
count-subarrays-with-score-less-than-k,Hard,167,167,37.3063,SUCCESS,89.0868,Accepted,TRUE
merge-similar-items,Easy,49,49,37.579,SUCCESS,32.6316,Accepted,TRUE
distribute-repeating-integers,Hard,109,109,37.7062,SUCCESS,63.9345,Accepted,TRUE
number-of-changing-keys,Easy,802,802,38.1283,SUCCESS,30.6759,Accepted,TRUE
semi-ordered-permutation,Easy,1977,1977,38.3116,SUCCESS,18.831,Accepted,TRUE
substrings-of-size-three-with-distinct-characters,Easy,160,160,38.3242,SUCCESS,9.661,Accepted,TRUE
stone-game-viii,Hard,78,78,38.4609,SUCCESS,90.7691,Accepted,TRUE
maximum-number-of-darts-inside-of-a-circular-dartboard,Hard,65,65,38.4612,SUCCESS,32.6924,Accepted,TRUE
maximum-height-of-a-triangle,Easy,857,857,38.9423,SUCCESS,38.9424,Accepted,TRUE
minimum-number-of-operations-to-sort-a-binary-tree-by-level,Medium,146,146,39.0835,SUCCESS,7.8169,Accepted,TRUE
maximum-number-that-sum-of-the-prices-is-less-than-or-equal-to-k,Medium,932,932,39.2152,SUCCESS,13.7255,Accepted,TRUE
maximum-sum-of-distinct-subarrays-with-length-k,Medium,93,93,39.4141,SUCCESS,26.6516,Accepted,TRUE
count-of-substrings-containing-every-vowel-and-k-consonants-i,Medium,815,815,39.4487,SUCCESS,40.367,Accepted,TRUE
difference-between-ones-and-zeros-in-row-and-column,Medium,85,85,39.4642,SUCCESS,69.3492,Accepted,TRUE
split-strings-by-separator,Easy,1036,1036,39.6175,SUCCESS,89.4809,Accepted,TRUE
sort-the-students-by-their-kth-score,Medium,33,33,40,SUCCESS,84.2202,Accepted,TRUE
find-the-sum-of-the-power-of-all-subsequences,Hard,577,577,40.0004,SUCCESS,58.6666,Accepted,TRUE
find-the-number-of-winning-players,Easy,839,839,40.2174,SUCCESS,71.7391,Accepted,TRUE
design-an-ordered-stream,Easy,101,101,40.4729,SUCCESS,42.6982,Accepted,TRUE
choose-k-elements-with-maximum-sum,Medium,635,635,40.5579,SUCCESS,64.034,Accepted,TRUE
most-frequent-prime,Medium,974,974,40.8598,SUCCESS,98.9247,Accepted,TRUE
longest-subarray-with-maximum-bitwise-and,Medium,52,52,40.9267,SUCCESS,37.0657,Accepted,TRUE
minimum-space-wasted-from-packaging,Hard,42,42,40.945,SUCCESS,25.197,Accepted,TRUE
maximize-happiness-of-selected-children,Medium,674,674,41.1152,SUCCESS,89.1985,Accepted,TRUE
count-palindromic-subsequences,Hard,63,63,41.18,SUCCESS,27.3368,Accepted,TRUE
count-the-number-of-good-subarrays,Medium,41,41,41.2093,SUCCESS,37.0954,Accepted,TRUE
minimum-operations-to-write-the-letter-y-on-a-grid,Medium,909,909,41.21,SUCCESS,8.5015,Accepted,TRUE
minimum-cost-for-cutting-cake-i,Medium,533,533,41.2122,SUCCESS,35.7576,Accepted,TRUE
minimum-equal-sum-of-two-arrays-after-replacing-zeros,Medium,636,636,41.3654,SUCCESS,42.1252,Accepted,TRUE
sum-of-imbalance-numbers-of-all-subarrays,Hard,1303,1303,41.8909,SUCCESS,98.6486,Accepted,TRUE
maximum-building-height,Hard,50,50,42.0281,SUCCESS,57.971,Accepted,TRUE
find-the-length-of-the-longest-common-prefix,Medium,718,718,43.0154,SUCCESS,60.6986,Accepted,TRUE
find-all-k-distant-indices-in-an-array,Easy,87,87,43.0712,SUCCESS,28.5714,Accepted,TRUE
visit-array-positions-to-maximize-score,Medium,744,744,43.2088,SUCCESS,88.2717,Accepted,TRUE
number-of-ways-to-earn-points,Hard,63,63,43.5,SUCCESS,93.5,Accepted,TRUE
longest-alternating-subarray,Easy,2880,2880,43.9252,SUCCESS,49.0654,Accepted,TRUE
find-xor-beauty-of-array,Medium,32,32,44.0861,SUCCESS,63.4408,Accepted,TRUE
find-the-pivot-integer,Easy,428,428,44.0877,SUCCESS,85.5574,Accepted,TRUE
sliding-subarray-beauty,Medium,717,717,44.2846,SUCCESS,90.9524,Accepted,TRUE
minimum-time-to-visit-disappearing-nodes,Medium,534,534,44.4445,SUCCESS,34.3916,Accepted,TRUE
insert-greatest-common-divisors-in-linked-list,Medium,582,582,44.4811,SUCCESS,17.9022,Accepted,TRUE
minimum-seconds-to-equalize-a-circular-array,Medium,579,579,44.7364,SUCCESS,76.3157,Accepted,TRUE
the-score-of-students-solving-math-expression,Hard,274,274,44.8984,SUCCESS,83.6735,Accepted,TRUE
maximum-score-of-a-good-subarray,Hard,73,73,45.0363,SUCCESS,75.5319,Accepted,TRUE
minimum-operations-to-make-the-integer-zero,Medium,542,542,45.3782,SUCCESS,88.2353,Accepted,TRUE
maximum-palindromes-after-operations,Medium,507,507,45.4549,SUCCESS,76.8595,Accepted,TRUE
maximum-tastiness-of-candy-basket,Medium,40,40,45.4737,SUCCESS,43.7185,Accepted,TRUE
sorting-three-groups,Medium,7414,7414,45.5645,SUCCESS,84.6774,Accepted,TRUE
the-two-sneaky-numbers-of-digitville,Easy,706,706,45.5959,SUCCESS,92.3835,Accepted,TRUE
find-the-maximum-number-of-marked-indices,Medium,68,68,46.114,SUCCESS,8.8083,Accepted,TRUE
count-equal-and-divisible-pairs-in-an-array,Easy,238,238,46.2057,SUCCESS,31.9922,Accepted,TRUE
high-access-employees,Medium,1143,1143,46.737,SUCCESS,18.6066,Accepted,TRUE
find-the-largest-area-of-square-inside-two-rectangles,Medium,661,661,46.8733,SUCCESS,12.4999,Accepted,TRUE
minimum-number-of-operations-to-make-x-and-y-equal,Medium,948,948,46.961,SUCCESS,40.3313,Accepted,TRUE
count-the-number-of-ideal-arrays,Hard,47,47,47.0078,SUCCESS,18.262,Accepted,TRUE
find-missing-and-repeated-values,Easy,584,584,47.1232,SUCCESS,96.2624,Accepted,TRUE
meeting-rooms-iii,Hard,81,81,47.2034,SUCCESS,70.2182,Accepted,TRUE
find-the-substring-with-maximum-cost,Medium,1054,1054,47.5856,SUCCESS,46.0967,Accepted,TRUE
cycle-length-queries-in-a-tree,Hard,27,27,47.658,SUCCESS,77.3439,Accepted,TRUE
find-the-punishment-number-of-an-integer,Medium,216,216,47.6902,SUCCESS,98.2969,Accepted,TRUE
subarray-with-elements-greater-than-varying-threshold,Hard,68,68,47.8564,SUCCESS,57.8569,Accepted,TRUE
find-score-of-an-array-after-marking-all-elements,Medium,1044,1044,47.9956,SUCCESS,79.4283,Accepted,TRUE
permutation-difference-between-two-strings,Easy,823,823,48.1142,SUCCESS,50.5607,Accepted,TRUE
make-lexicographically-smallest-array-by-swapping-elements,Medium,523,523,48.1202,SUCCESS,98.8721,Accepted,TRUE
minimum-moves-to-spread-stones-over-grid,Medium,611,611,48.1336,SUCCESS,98.3403,Accepted,TRUE
minimum-number-of-operations-to-make-word-k-periodic,Medium,820,820,48.4849,SUCCESS,15.1516,Accepted,TRUE
longest-unequal-adjacent-groups-subsequence-ii,Medium,441,441,48.6471,SUCCESS,98.6486,Accepted,TRUE
valid-arrangement-of-pairs,Hard,40,40,49.0081,SUCCESS,89.4897,Accepted,TRUE
check-if-every-row-and-column-contains-all-numbers,Easy,227,227,49.1385,SUCCESS,38.078,Accepted,TRUE
maximum-number-of-integers-to-choose-from-a-range-i,Medium,208,208,49.4361,SUCCESS,56.015,Accepted,TRUE
shortest-impossible-sequence-of-rolls,Hard,65,65,49.4506,SUCCESS,30.7693,Accepted,TRUE
count-substrings-that-satisfy-k-constraint-i,Easy,780,780,50.1773,SUCCESS,40.4256,Accepted,TRUE
count-pairs-of-connectable-servers-in-a-weighted-tree-network,Medium,716,716,50.5616,SUCCESS,85.3932,Accepted,TRUE
minimum-changes-to-make-alternating-binary-string,Easy,89,89,50.8505,SUCCESS,86.5646,Accepted,TRUE
maximum-difference-between-adjacent-elements-in-a-circular-array,Easy,962,962,51.382,SUCCESS,58.0488,Accepted,TRUE
find-special-substring-of-length-k,Easy,812,812,51.5856,SUCCESS,57.8225,Accepted,TRUE
find-the-maximum-factor-score-of-array,Medium,752,752,51.63,SUCCESS,91.8478,Accepted,TRUE
minimum-deletions-to-make-array-divisible,Hard,49,49,52.1094,SUCCESS,60.0211,Accepted,TRUE
check-balanced-string,Easy,868,868,52.3656,SUCCESS,20.2887,Accepted,TRUE
determine-the-minimum-sum-of-a-k-avoiding-array,Medium,2502,2502,52.4753,SUCCESS,85.1485,Accepted,TRUE
minimum-levels-to-gain-more-points,Medium,855,855,52.542,SUCCESS,69.4915,Accepted,TRUE
maximum-subsequence-score,Medium,28,28,53.1205,SUCCESS,75.6552,Accepted,TRUE
find-champion-ii,Medium,758,758,53.5831,SUCCESS,34.8401,Accepted,TRUE
maximum-odd-binary-number,Easy,985,985,53.7162,SUCCESS,17.1452,Accepted,TRUE
find-the-first-player-to-win-k-games-in-a-row,Medium,684,684,54.0315,SUCCESS,91.9354,Accepted,TRUE
cat-and-mouse-ii,Hard,180,180,54.0541,SUCCESS,70.2703,Accepted,TRUE
special-array-ii,Medium,536,536,54.0983,SUCCESS,22.7166,Accepted,TRUE
snake-in-matrix,Easy,983,983,54.3479,SUCCESS,33.9466,Accepted,TRUE
count-paths-that-can-form-a-palindrome-in-a-tree,Hard,666,666,54.3481,SUCCESS,13.0438,Accepted,TRUE
check-if-strings-can-be-made-equal-with-operations-ii,Medium,752,752,54.375,SUCCESS,6.875,Accepted,TRUE
find-number-of-ways-to-reach-the-k-th-stair,Hard,600,600,54.4446,SUCCESS,40,Accepted,TRUE
minimum-number-of-increments-on-subarrays-to-form-a-target-array,Hard,129,129,54.4822,SUCCESS,72.4098,Accepted,TRUE
find-the-original-array-of-prefix-xor,Medium,46,46,54.487,SUCCESS,52.7243,Accepted,TRUE
minimize-string-length,Easy,5013,5013,54.6232,SUCCESS,30.4795,Accepted,TRUE
minimize-maximum-of-array,Medium,68,68,54.6834,SUCCESS,98.2571,Accepted,TRUE
minimize-the-maximum-difference-of-pairs,Medium,1582,1582,54.8369,SUCCESS,40.9678,Accepted,TRUE
count-vowel-substrings-of-a-string,Easy,88,88,54.8437,SUCCESS,83.957,Accepted,TRUE
minimum-time-to-visit-a-cell-in-a-grid,Hard,41,41,54.928,SUCCESS,65.0699,Accepted,TRUE
find-the-n-th-value-after-k-seconds,Medium,708,708,55.1737,SUCCESS,68.6207,Accepted,TRUE
find-all-good-indices,Medium,68,68,55.2031,SUCCESS,36.1987,Accepted,TRUE
maximum-energy-boost-from-two-drinks,Medium,563,563,55.2092,SUCCESS,59.8959,Accepted,TRUE
collecting-chocolates,Medium,2564,2564,55.8442,SUCCESS,50.6494,Accepted,TRUE
sum-of-number-and-its-reverse,Medium,258,258,56.0738,SUCCESS,11.215,Accepted,TRUE
painting-a-grid-with-three-different-colors,Hard,84,84,56.3369,SUCCESS,80.2817,Accepted,TRUE
maximum-number-of-robots-within-budget,Hard,82,82,56.7648,SUCCESS,82.3672,Accepted,TRUE
apply-operations-on-array-to-maximize-sum-of-squares,Hard,918,918,56.9764,SUCCESS,54.6511,Accepted,TRUE
find-the-k-th-character-in-string-game-i,Easy,502,502,57.0383,SUCCESS,37.266,Accepted,TRUE
merge-bsts-to-create-single-bst,Hard,475,475,57.2269,SUCCESS,96.1573,Accepted,TRUE
process-restricted-friend-requests,Hard,49,49,57.364,SUCCESS,57.3643,Accepted,TRUE
find-the-longest-equal-subarray,Medium,1422,1422,57.5422,SUCCESS,17.5437,Accepted,TRUE
